,Index,Address,FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received,avg val received,min val sent,max val sent,avg val sent,min value sent to contract,max val sent to contract,avg value sent to contract,total transactions (including tnx to create contract,total Ether sent,total ether received,total ether sent contracts,total ether balance,Total ERC20 tnxs,ERC20 total Ether received,ERC20 total ether sent,ERC20 total Ether sent contract,ERC20 uniq sent addr,ERC20 uniq rec addr,ERC20 uniq sent addr.1,ERC20 uniq rec contract addr,ERC20 avg time between sent tnx,ERC20 avg time between rec tnx,ERC20 avg time between rec 2 tnx,ERC20 avg time between contract tnx,ERC20 min val rec,ERC20 max val rec,ERC20 avg val rec,ERC20 min val sent,ERC20 max val sent,ERC20 avg val sent,ERC20 min val sent contract,ERC20 max val sent contract,ERC20 avg val sent contract,ERC20 uniq sent token name,ERC20 uniq rec token name,ERC20 most sent token type,ERC20_most_rec_token_type
14,15,0x001cf9871aeaf2acf72f144b16818b7e417b6dda,0,14106.66,3742.82,540061.9,32,24,0,11,21,0.0,14.999.995.800.000.000,77.125.266,0.0,1100.0,102.312.148,0.0,0.0,0.0,56,3.273.988.723,18.510.063.760.000.000,0.0,-1.422.982.347,33.0,1.398.277.923,133086.5,0.0,4.0,23.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,118324.5,4.993.849.726,"1,00E-06",118324.5,26617.3,0.0,0.0,0.0,4.0,26.0,TenXPay,KyberNetwork
15,16,0x001d54f72af6eae0fdd17009c391426754bec5c2,0,757.91,11.08,25802.32,34,3,1,3,13,91.844,1.0,530.615,0.0,933.444,44.268,0.0,0.0,0.0,38,15.051.029.580.000.000,1.591.844.363,0.0,86.741.405,4.0,0.0,"5,00E-06",0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"5,00E-06","1,00E-06",0.0,0.0,0.0,1.0,0.0,,None
16,17,0x001e6fbcd020823d3161df44bb5da6c34419eecb,0,3.13,4923.24,280803.43,57,57,0,2,2,16.037,277.689,204.013,15.617,277.269,203.593,0.0,0.0,0.0,114,116.048.114,116.287.514,0.0,23.940.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
17,18,0x001eb1e90d25e8c1372c38f2b2a36b49b6634235,0,27681.45,11171.03,842599.05,26,11,0,6,15,0.09,34.94,16.564.688,0.0,34.9,9.896.423,0.0,0.0,0.0,37,257.307,1.822.115.661,0.0,-7.509.543.387,13.0,3.084.403.104,3.070.973.104,0.0,4.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,274230.0,342.711.456,1620.0,274231.0,767.743.276,0.0,0.0,0.0,3.0,7.0,StatusNetwork,Bancor
18,19,0x001f357ca93307571d8cd93d09ce25a3660429af,0,770.29,3.82,2318.5,3,2,0,1,3,7.772,19.995,138.835,3.7,20.082.772,9.255.226,0.0,0.0,0.0,5,27.765.677,27.767,0.0,1.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
19,20,0x001f99982965a3792077893ecadc7be0c61d613c,0,163.78,1.11,329.78,2,2,0,2,2,44.048.882,5.695.111.800.000.000,50.5,0.61,100.388.974,50.499.487,0.0,0.0,0.0,4,1.009.989.738,101.0,0.0,1.026.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20,21,0x00235134f8335d48cf506b25cc376fc84520588b,0,0.0,6324.45,113840.02,0,18,1,5,0,0.0,12.782.766,5.662.421,0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,1.019.235.724,0.0,1.019.235.724,2.0,4.983.578.382,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.983.578,2.491.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,None,OmiseGO
21,22,0x0023a6a2c8316ccfb083a194aa5668bd75891455,0,725.77,41108.66,292841.02,7,7,0,4,3,0.0,17.949.074,8.407.243,2.0,30.950.276,22.441.764.000.000.000,0.0,0.0,0.0,14,15.709.235.049.999.900,5.885.070.376,0.0,-9.824.164.672,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,None,ONOT
22,23,0x0029a9b2ea1e45e32fb6344b117388515858d040,0,91.14,64.3,712.88,5,4,0,4,5,0.5,5.0,2.1875,377.203,2.851.287,1.749.551,0.0,0.0,0.0,9,8.747.754.943,8.75,0.0,2.245.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
23,24,0x002a68f53b92cef5ee4e7ce015b78408f20942bb,0,2477.34,6928.28,892782.2,8,126,0,1,2,13.556,501.254,342.666,0.1,2.0,1.2625,0.0,0.0,0.0,134,10.1,4.317.587.621,0.0,3.307.587.621,16.0,2.765.749.578,100.0,0.0,1.0,9.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1500.0,184.383.305,100.0,100.0,100.0,0.0,0.0,0.0,1.0,15.0,blockwell.ai KYC Casper Token,Tronix
24,25,0x002ab919205b134d05d0746e22c7f8000523c660,0,0.0,13339.9,226778.27,0,17,1,6,0,0.0,11.291.416,4.860.215,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,8.262.366.163,0.0,8.262.366.163,3.0,4.804.121.022,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,920.501,2.0,1.601.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,None,DATAcoin
25,26,0x002b043689ad84008fffab16afc1955f5a3aebde,0,0.0,0.0,30.65,1,1,0,1,1,4.999,4.999,4.999,499.774,499.774,499.774,0.0,0.0,0.0,2,499.774,4.999,0.0,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
26,27,0x0031ebb20a0aaf8c67be012bb3a3483d75269635,0,1797.42,60933.08,330187.83,82,3,0,3,7,0.0,30.0,11.666.667,0.0,30.0,760.256,0.0,0.0,0.0,85,62.341,35.0,0.0,-27.341,11.0,1.473.843.474,0.0,0.0,0.0,8.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,600.0,13.398.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,None,XENON
27,28,0x003300d3d2c46983b9a55b07b9b2ab47d6228111,0,0.0,0.0,68.87,1,1,0,1,1,5.476.489.999.999.990,5.476.489.999.999.990,5.476.489.999.999.990,546.389,546.389,546.389,0.0,0.0,0.0,2,54.638.892,54.764.892,0.0,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
28,29,0x0033fd555da940b923a7f6f465cc4d9088724263,0,155.22,112602.93,338429.65,4,3,0,3,3,0.0,2.337.156,1.512.385,2.0,2.379.635,2.104.909,0.0,0.0,0.0,7,8.419.634.776,45.371.564.000.000.000,0.0,-3.882.478.376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
29,30,0x0034f7473531239b1799bc7f14ff97d5303a5a93,0,14626.26,6594.93,955278.0,59,14,0,7,34,979,1100.0,167.979.641,0.0,500.0,43.052.269,0.0,0.0,0.0,73,2.540.083.853,2.351.714.972,0.0,-188.368.881,48.0,1555219.09,15.452.390.280.000.000,0.0,12.0,26.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,3.229.321.604,471.278.512,0.0,1230000.0,1.030.159.352,0.0,0.0,0.0,11.0,23.0,EOS,StatusNetwork
30,31,0x0036ed1e6299bb586ac70ebdfa336f06714a9556,0,0.0,5498.63,291427.53,0,53,1,4,0,0.0,1.002.204,504.895,0.0,0.0,0.0,0.0,0.0,0.0,54,0.0,2.675.944.516,0.0,2.675.944.516,2.0,55.819.781,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,10.587,452.328,279.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,None,DATAcoin
31,32,0x0038ab9bf479faa2997522b3cf9492153ea6b33f,0,3.33,51068.75,561789.58,10,11,0,8,1,22.663,20.799,511.114,923.126,20.797.915,5.621.492,0.0,0.0,0.0,21,5.621.491.815,5.622.253.457,0.0,761.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
32,33,0x003b9a44dcc7b59546a8b1c1e7dccd57eb99f07d,0,1128.56,0.0,2257.12,2,1,0,1,2,17.479.810.000.000.000,17.479.810.000.000.000,17.479.810.000.000.000,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,174.798.122,0.0,174.798.122,10.0,3.279.083.121.000.000,0.0,0.0,0.0,8.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,290.214.723,32.790.831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,None,SAFE.AD - 20% DISCOUNT UNTIL 1 MAY
33,34,0x003c5ebfa5cdb3d73bad42bb07db823f6c77a236,0,2152.95,680.22,22889.93,10,2,0,1,6,0.05,0.1,75,0.0,60.734,11.073,0.0,0.0,0.0,12,110.734.264,0.15,0.0,39.265.736,2.0,"1,00E-12","1,00E-11",0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,
34,35,0x003d8b1e6723960d60367a719fe65e08643a2a80,0,0.0,648.26,449889.15,0,694,1,4,0,0.0,22.0,1.618.731,0.0,0.0,0.0,0.0,0.0,0.0,695,0.0,1.123.399.095,0.0,1.123.399.095,2.0,532.864.637,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,82.576,4.502.890.000.000.000,266.432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,None,DATAcoin
35,36,0x003e2b1599587a6c2f38928ea8f874a74fb1bbbc,0,45.91,58.88,450106.65,5970,2989,0,1337,2212,0.0,314.099.958,74.622.817,0.0,3900.0,3.784.572.100.000.000,0.0,0.0,0.0,8959,2.259.389.558,2.230.476.014,0.0,-2.891.354.427,325.0,1.397.937.886,1.372.602.674,0.0,21.0,295.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,7.283.870.935,470.686.157,0.0,9.352.452.194,4.902.152.406,0.0,0.0,0.0,6.0,15.0,ICO,Storj
36,37,0x004534ebd59b0b094da701dbfd952ef605470128,0,0.0,0.0,4.87,1,1,0,1,1,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,3,0.0,3,2.0,3.75e-12,"5,00E-15",0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,bitqy,bitqy
37,38,0x0045eb75acf6e1cb1d9ec41e352a879e2cd50b35,0,1067.84,128.81,636162.82,68,4375,0,1,4,443.993,3.602.495,1.055.731,0.0,5.208.121.679.999.990,67.923.395,0.0,0.0,0.0,4443,4.618.790.832,4.618.823.828.000.000,0.0,3.299.662,10.0,1.444.347.483,4.431.401.966,0.0,2.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,76.842.897,180.543.435,2.2155,22.159.020.000.000.000,2.215.701,0.0,0.0,0.0,1.0,8.0,OmiseGO,XENON
38,39,0x00462f4a169c1dc0b9dc428aa37d394c8abf1266,0,1051.87,85496.6,345142.02,3,4,0,2,3,0.0,3.508.474,1.395.953,6.999.999.999.999.990,5.544,3.683.667,0.0,0.0,0.0,7,11.050.999.999.999.900,5.583.810.700.000.000,0.0,-54.671.892.999.999.900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
39,40,0x00472c1e4275230354dbe5007a5976053f12610a,0,2.12,0.92,21206.93,9996,4,3,3,2,1.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,10003,0.0,44.0,0.0,44.0,35.0,3106124509.0,100.0,0.0,1.0,25.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,1553054037.0,91356603.2,100.0,100.0,100.0,0.0,0.0,0.0,1.0,29.0,blockwell.ai KYC Casper Token,Beauty Coin
40,41,0x004853f00fab90ab60cf1e609b0b61494b90164c,0,17441.04,1245.91,160707.1,9,3,0,2,4,1.0,49.995,18.996.667,0.0,20.0,6.226.376,0.0,0.0,0.0,12,5.603.738.689,56.99,0.0,952.613.114,13.0,1.220.178.964,120100.0,0.0,1.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,60716.0,1.220.178.964,100.0,100000.0,4.003.333.333,0.0,0.0,0.0,1.0,9.0,SONM,SONM
41,42,0x004e1c2a12ac1d0b70907c702892f397a4769bfb,0,45561.42,26284.49,802574.4,13,8,0,7,5,0.0,45.4,21.925,0.0,99.0,20.327.692.000.000.000,0.0,0.0,0.0,21,264.26,175.4,0.0,-88.86,15.0,21.167.384,636100.0,0.0,4.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,20.180.614,2.645.923,2500.0,300000.0,9.087.142.857,0.0,0.0,0.0,2.0,6.0,BAT,NEVERDIE
42,43,0x004f1cea50b057ad8b6f445e128edbdc9b48902b,0,379.78,56424.63,339687.12,3,6,0,6,1,0.0,1.515.068,888.941,4.5,4.5,4.5,0.0,0.0,0.0,9,13.5,53.336.489.999.999.900,0.0,-8.166.350.999.999.990,13.0,5.307.089.588,0.0,0.0,0.0,10.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,52417.0,4.082.376.606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,None,Tronix
43,44,0x005073a74dd37889bebbf9de7550dea7666f625b,0,1478.05,51541.26,355017.02,33,6,0,3,11,0.0,51.0,9.803.306,0.0,20.0,2.307.983,0.0,0.0,0.0,39,7.616.345.259,5.881.983.438,0.0,-1.734.361.821,7.0,25000.0,27500.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,"1,00E-06",25000.0,12500.0,0.0,15000.0,5500.0,0.0,0.0,0.0,4.0,2.0,StatusNetwork,StatusNetwork
44,45,0x005457078e3c355023433874edffc8b254881334,0,164.22,0.0,328.45,2,1,0,1,2,101.0,101.0,101.0,1.335.323,99.663.651,50.499.487,0.0,0.0,0.0,3,1.009.989.738,101.0,0.0,1.026.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
45,46,0x00595d5ec3bb583428a0304b2940a70d7f553aef,0,1790.44,450.56,13445.97,6,6,0,5,2,0.2,10.0,2.615.514,199.528,9.999.545,2.614.933,0.0,0.0,0.0,12,1.568.959.511,1.569.308.421,0.0,34.890.990.000.000.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
46,47,0x0059782ecd69fb5413c5e1a98b40c28dff061162,0,803.95,112925.21,340383.53,2,3,0,2,2,0.0,6.995,2.333.333,6.955.496.000.000.000,6.956,6.955.748,0.0,0.0,0.0,5,13.911.496,7.0,0.0,-69.114.960.000.000.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
47,48,0x005b98bb53be9d5789d27aa1c69ec8a789eff9c1,0,18649.44,15420.31,266825.07,11,4,0,3,6,195,4.0,167.375,0.0,1.9,759.219,0.0,0.0,0.0,15,8.351.405.032.999.990,6.695,0.0,-16.564.050.330.000.000,4.0,1.487.699.492,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,136.515.289,37.192.487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,None,INS Promo
48,49,0x005cb96b96c8fe801f89500df6ee38dc5fa0081f,0,65.85,32.24,204236.48,2217,1807,0,1471,1205,0.0,79.999.874,18.736.369,0.0,1100.0,15.276.167,0.0,0.0,0.0,4024,3.386.726.324,338.566.182,0.0,-1.064.504.551,5.0,4.195.406.065,4.193.352,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.096.676,1.048.851.516,4.193.352,4.193.352,4.193.352,0.0,0.0,0.0,1.0,3.0,TenXPay,TenXPay
49,50,0x005d3bffd33b1a012279d25d30f75133584404db,0,181.7,56819.72,286279.03,12,5,0,5,7,0.0,174.995,63.085,0.1,225.0,5.951.666.700.000.000,0.0,0.0,0.0,17,714.2,315.425,0.0,-398.775,11.0,2.552.313.319,0.0,0.0,0.0,9.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,219.313.921,23.202.848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,None,SAFE.AD - 20% DISCOUNT UNTIL 1 MAY
50,51,0x006482de8230af0f8e2918a439c7826fe8642a43,0,23359.72,27049.27,1169229.5,35,13,0,6,23,0.0,972.434,182.498.725,0.0,500.0,85.766.674,0.0,0.0,0.0,48,3.001.833.603,2.372.483.424,0.0,-6.293.501.786,20.0,953.577.025,9.608.493.585,0.0,8.0,9.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,50000.0,8.668.882.045,0.0,50000.0,1.067.610.398,0.0,0.0,0.0,6.0,11.0,Melon,EOS
51,52,0x006743c8992ca6d54c23fa3a745a4781b3817f0c,0,20827.93,0.0,186707.1,8,1,0,1,2,10.0,10.0,10.0,1.621.938,26.0,12.688.992,0.0,0.0,0.0,9,1.015.119.377,10.0,0.0,-9.151.193.767,1.0,31.819.385,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,31.819,31.819,31.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,None,OmiseGO
52,53,0x0067e167caf808eaa6f642d9232e54ff7bb47c07,0,4183.18,1470.01,962956.75,181,140,0,57,103,731,117.7,4.007.761,0.0,240.0,3.288.313,0.0,0.0,0.0,321,5.951.846,5.610.865,0.0,-340.981,135.0,2.447.415.911,2.345.018.342,0.0,34.0,51.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1051000.0,2.845.832.455,"1,00E-06",526000.0,4.785.751.719,0.0,0.0,0.0,25.0,64.0,Friendz Coin,Cybereits Token
53,54,0x006aaaff2ff3358bc8453febaba4e236b028df80,0,1969.46,288.59,97419.95,48,10,0,4,13,0.09,99.99,25.810.391,0.0,100.0,6.758.479,0.0,0.0,0.0,58,324.407,2.581.039.104,0.0,-663.030.896,27.0,4.067.725.702,150.816,0.0,2.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,365.0,20.338.629,0.0,"5,40E+10",2.2e-05,0.0,0.0,0.0,2.0,9.0,FunFair,FunFair
